ANS;ANDRONI GIOCATTOLI - SIDERMEC;PCT;ITA;EUR
BRD;BARDIANI CSF;PCT;ITA;EUR
BBH;BURGOS - BH;PCT;ESP;EUR
CJR;CAJA RURAL - SEGUROS RGA;PCT;ESP;EUR
COF;COFIDIS, SOLUTIONS CREDITS;PCT;FRA;EUR
COC;CORENDON - CIRCUS;PCT;BEL;EUR
DMP;DELKO MARSEILLE PROVENCE ;PCT;FRA;EUR
EUS;EUSKADI BASQUE COUNTRY - MURIAS;PCT;ESP;EUR
GAZ;GAZPROM - RUSVELO;PCT;RUS;EUR
HBA;HAGENS BERMAN AXEON;PCT;USA;AME
ICA;ISRAEL CYCLING ACADEMY;PCT;ISR;EUR
MZN;MANZANA POSTOBON TEAM;PCT;COL;AME
NSK;NERI SOTTOLI SELLE ITALIA KTM;PCT;ITA;EUR
NIP;NIPPO - VINI FANTINI - FAIZANE';PCT;ITA;EUR
RLY;RALLY UHC CYCLING;PCT;USA;AME
RIW;RIWAL READYNEZ CYCLING TEAM;PCT;DEN;EUR
ROC;ROOMPOT - CHARLES;PCT;NED;EUR
SVB;SPORT VLAANDEREN - BALOISE;PCT;BEL;EUR
PCB;TEAM ARKEA - SAMSIC;PCT;FRA;EUR
TNN;TEAM NOVO NORDISK;PCT;USA;AME
TDE;TOTAL DIRECT ENERGIE;PCT;FRA;EUR
VCB;VITAL CONCEPT - B&B HOTELS;PCT;FRA;EUR
W52;W52 / FC PORTO;PCT;POR;EUR
WVA;WALLONIE BRUXELLES;PCT;BEL;EUR
WGG;WANTY - GOBERT CYCLING TEAM;PCT;BEL;EUR