ALM;AG2R LA MONDIALE;WTT;FRA;EUR
AST;ASTANA PRO TEAM;WTT;KAZ;ASI
TBM;BAHRAIN - MERIDA;WTT;BRN;ASI
BOH;BORA - HANSGROHE;WTT;GER;EUR
CCC;CCC TEAM;WTT;POL;EUR
DQT;DECEUNINCK  -  QUICK - STEP ;WTT;BEL;EUR
EF1;EF EDUCATION FIRST;WTT;USA;AME
GFC;GROUPAMA - FDJ;WTT;FRA;EUR
LTS;LOTTO SOUDAL;WTT;BEL;EUR
MTS;MITCHELTON - SCOTT;WTT;AUS;OCE
MOV;MOVISTAR TEAM;WTT;ESP;EUR
TDD;TEAM DIMENSION DATA;WTT;RSA;AFR
INS;TEAM INEOS;WTT;GBR;EUR
TJV;TEAM JUMBO - VISMA;WTT;NED;EUR
TKA;TEAM KATUSHA ALPECIN;WTT;SUI;EUR
SUN;TEAM SUNWEB;WTT;GER;EUR
TFS;TREK - SEGAFREDO;WTT;USA;AME
UAD;UAE TEAM EMIRATES;WTT;UAE;ASI